City ID,City,Cloudiness,Country,Date,Humidity (%),Lat,Long,Max Temp (F),Wind Speed (mph)
0,Semey,58,KZ,1586642334,68,50.41,80.23,38.3,4.81
1,Teguise,20,ES,1586642307,68,29.06,-13.56,66.2,12.75
2,Hobart,75,AU,1586642093,57,-42.88,147.33,52.0,13.87
3,Faya,44,SA,1586642335,55,18.39,42.45,66.2,1.81
4,Patnongon,0,PH,1586642336,69,10.91,121.99,78.58,4.97
5,Vila Velha,90,BR,1586642323,88,-20.33,-40.29,75.99,6.93
6,Puerto Escondido,40,MX,1586642337,78,15.85,-97.07,82.4,8.05
7,Khovd,100,MN,1586642338,39,48.01,91.64,38.35,1.74
8,Katsuura,75,JP,1586642338,93,35.13,140.3,50.0,12.75
9,Nikolskoye,5,RU,1586642266,92,59.7,30.79,28.4,2.24
10,Lovozero,32,RU,1586642339,87,68.0,35.01,17.78,4.18
11,New Norfolk,75,AU,1586642251,57,-42.78,147.06,52.0,13.87
12,Dikson,100,RU,1586642174,96,73.51,80.55,14.29,10.11
13,Maryville,75,US,1586642340,19,35.76,-83.97,70.0,8.05
14,Yellowknife,40,CA,1586642106,57,62.46,-114.35,19.0,16.11
15,Saint Anthony,1,US,1586642137,21,45.02,-93.22,62.01,3.36
16,Vaini,20,TO,1586642270,69,-21.2,-175.2,78.8,4.7
17,Cape Town,75,ZA,1586642139,93,-33.93,18.42,64.99,19.46
18,Hilo,1,US,1586642181,69,19.73,-155.09,80.6,8.05
19,Ponta do Sol,75,PT,1586642342,67,32.67,-17.1,62.6,13.87
20,Tuktoyaktuk,20,CA,1586642306,84,69.45,-133.04,3.2,6.93
21,Beringovskiy,98,RU,1586642342,94,63.05,179.32,11.26,10.49
22,Mataura,100,NZ,1586642166,64,-46.19,168.86,57.99,4.0
23,Izumo,75,JP,1586642342,75,35.37,132.77,48.2,11.41
24,Isangel,20,VU,1586642343,83,-19.55,169.27,77.0,6.15
25,Saldanha,98,ZA,1586642343,88,-33.01,17.94,62.6,12.75
26,Hithadhoo,0,MV,1586642273,65,-0.6,73.08,84.56,6.38
27,Saskylakh,19,RU,1586642175,90,71.92,114.08,0.82,14.94
28,Maniitsoq,91,GL,1586642343,72,65.42,-52.9,38.53,4.74
29,Makakilo City,20,US,1586642344,69,21.35,-158.09,84.2,5.82
30,Busselton,96,AU,1586642272,69,-33.65,115.33,71.01,8.14
31,Rikitea,78,PF,1586642344,74,-23.12,-134.97,77.04,1.34
32,Barrow,90,US,1586642178,84,71.29,-156.79,8.6,11.41
33,Jamestown,1,US,1586642274,48,42.1,-79.24,48.0,14.99
34,Ushuaia,75,AR,1586642272,75,-54.8,-68.3,42.8,26.4
35,Punta Arenas,65,CL,1586642345,61,-53.15,-70.92,48.2,14.99
36,Chirongui,20,YT,1586642345,78,-12.93,45.15,82.4,5.82
37,Saint-François,19,FR,1586642345,76,46.42,3.91,50.0,2.24
38,Khatanga,32,RU,1586642312,93,71.97,102.5,-1.05,8.01
39,Montmagny,99,FR,1586642346,51,48.97,2.35,66.0,2.24
40,Tefé,100,BR,1586642330,95,-3.35,-64.71,75.67,6.08
41,Flin Flon,75,CA,1586642346,44,54.77,-101.86,21.2,12.75
42,Grand Gaube,40,MU,1586642346,83,-20.01,57.66,78.01,11.41
43,Thompson,90,CA,1586642072,73,55.74,-97.86,24.8,9.17
44,Fujin,0,CN,1586642347,75,47.26,132.03,36.23,6.64
45,Verkhoyansk,100,RU,1586642206,94,67.54,133.38,28.53,10.54
46,Keta,20,GH,1586642347,74,5.92,0.99,84.2,5.82
47,Golden,40,US,1586642203,10,39.76,-105.22,72.0,19.46
48,Paamiut,100,GL,1586642348,86,61.99,-49.67,35.24,2.39
49,Elko,90,US,1586642348,29,41.0,-115.5,62.6,18.34
50,Shingū,100,JP,1586642227,63,33.73,135.98,50.92,6.67
51,Teknāf,1,BD,1586642348,84,20.86,92.31,74.66,2.3
52,Tuatapere,81,NZ,1586642320,64,-46.13,167.68,57.99,4.0
53,Progreso,5,MX,1586642351,17,21.28,-89.67,107.6,11.41
54,Chokurdakh,99,RU,1586642180,98,70.63,147.92,27.21,13.85
55,Bengkulu,37,ID,1586642316,81,-3.8,102.27,78.55,3.58
56,Brits,0,ZA,1586642351,82,-25.63,27.78,63.0,2.24
57,Bethel,20,US,1586642330,25,41.37,-73.41,55.99,8.05
58,Anadyr,9,RU,1586642353,84,64.75,177.48,3.2,15.66
59,Erie,40,US,1586642353,52,42.77,-78.67,46.4,20.8
60,Kayerkan,75,RU,1586642353,80,69.35,87.76,35.6,31.32
61,Coyhaique,40,CL,1586642312,57,-45.58,-72.07,50.0,8.05
62,Road Town,1,VG,1586642354,70,18.42,-64.62,84.2,9.17
63,Bluff,100,NZ,1586642283,64,-46.6,168.33,57.99,4.0
64,Santa Cruz de la Sierra,0,BO,1586642345,30,-17.8,-63.17,86.0,6.93
65,Castro,13,BR,1586642177,66,-24.79,-50.01,60.94,2.33
66,Djenné,23,ML,1586642355,22,13.91,-4.55,90.79,6.71
67,Saint George,1,US,1586642304,34,37.1,-113.58,66.2,14.99
68,Adrar,0,MR,1586642272,12,20.5,-10.07,85.59,10.56
69,Bandarbeyla,16,SO,1586642355,73,9.49,50.81,81.72,10.22
70,Albany,40,US,1586642159,31,42.6,-73.97,48.99,17.22
71,Quatre Cocos,40,MU,1586642356,83,-20.21,57.76,78.01,11.41
72,Bredasdorp,100,ZA,1586642271,56,-34.53,20.04,71.6,17.22
73,Salto,0,UY,1586642218,50,-31.38,-57.97,75.2,0.98
74,Portland,40,US,1586642255,44,45.52,-122.68,62.01,3.36
75,Puerto Ayora,40,EC,1586642170,70,-0.74,-90.35,84.2,6.93
76,Roald,100,NO,1586642343,81,62.58,6.13,46.4,14.99
77,Alofi,97,NU,1586642354,65,-19.06,-169.92,82.4,10.29
78,Neuquén,27,AR,1586642359,32,-38.95,-68.06,69.8,4.7
79,St. George's,20,GD,1586642266,70,12.06,-61.75,84.2,17.22
80,Longyearbyen,20,SJ,1586642360,70,78.22,15.64,-5.8,3.36
81,New Ulm,1,US,1586642360,25,44.31,-94.46,61.0,6.87
82,Sadovoye,10,RU,1586642360,71,47.78,44.51,40.93,11.41
83,Kovernino,100,RU,1586642360,89,57.13,43.81,31.53,9.31
84,Hong Kong,20,HK,1586642083,68,22.29,114.16,66.2,19.46
85,Hermanus,100,ZA,1586642137,65,-34.42,19.23,70.0,10.0
86,Hailar,0,CN,1586642361,42,49.2,119.7,40.23,2.95
87,Kaitangata,92,NZ,1586642213,62,-46.28,169.85,56.61,8.95
88,Calama,0,CL,1586642362,18,-22.47,-68.93,73.4,17.22
89,Makushino,99,RU,1586642362,70,55.21,67.24,41.14,5.77
90,Ndendé,100,GA,1586642362,89,-2.4,11.36,75.34,3.13
91,Namatanai,100,PG,1586642362,76,-3.67,152.43,82.02,3.67
92,Leningradskiy,94,RU,1586642362,87,69.38,178.42,12.81,3.98
93,East London,94,ZA,1586642182,67,-33.02,27.91,74.39,3.02
94,Amuñgan,75,PH,1586642363,88,15.37,119.96,78.8,2.24
95,Hede,18,CN,1586642363,65,33.77,120.25,43.39,12.59
96,Rusnė,76,LT,1586642363,51,55.3,21.38,39.2,6.71
97,Northam,0,GB,1586642363,84,51.03,-4.22,57.0,4.0
98,Manturovo,100,RU,1586642364,94,58.34,44.76,30.07,7.18
99,Mossamedes,0,AO,1586642280,61,-15.2,12.15,77.59,3.62
100,Khanpur,87,PK,1586642364,27,28.65,70.66,84.92,3.04
101,Walvis Bay,0,NA,1586642364,73,-22.96,14.51,73.0,7.9
102,Upernavik,100,GL,1586642365,89,72.79,-56.15,20.88,0.98
103,Port Alfred,77,ZA,1586642200,90,-33.59,26.89,68.0,4.0
104,Hay River,40,CA,1586642365,57,60.82,-115.8,17.6,9.17
105,Torbay,75,CA,1586642365,59,47.67,-52.73,37.4,29.97
106,Ribeira Grande,0,PT,1586642281,71,38.52,-28.7,62.6,7.74
107,Bambous Virieux,40,MU,1586642366,83,-20.34,57.76,78.01,11.41
108,Skellefteå,92,SE,1586642366,74,64.75,20.95,30.2,6.93
109,Butaritari,95,KI,1586642289,76,3.07,172.79,83.98,13.35
110,Grindavik,40,IS,1586642368,80,63.84,-22.43,41.0,13.87
111,Manche,0,FR,1586642369,81,49.0,-1.17,54.0,3.36
112,Palmer,75,US,1586642369,31,42.16,-72.33,51.8,21.92
113,Necochea,85,AR,1586642369,64,-38.55,-58.74,64.99,5.01
114,Kapaa,90,US,1586642273,69,22.08,-159.32,78.8,4.7
115,Rovnoye,100,RU,1586642369,88,50.78,46.05,37.69,24.49
116,Bathsheba,20,BB,1586642373,65,13.22,-59.52,82.4,12.75
117,Namtsy,40,RU,1586642373,64,62.72,129.67,33.8,4.47
118,Boende,98,CD,1586642323,66,-0.22,20.87,77.5,1.63
119,Banda Aceh,46,ID,1586642374,80,5.56,95.32,80.22,3.96
120,Mandera,35,KE,1586642374,11,3.94,41.87,82.0,1.99
121,Ulaanbaatar,0,MN,1586642374,18,47.91,106.88,39.2,13.42
122,Gambēla,45,ET,1586642374,55,8.25,34.58,79.66,4.5
123,Mount Gambier,90,AU,1586642226,62,-37.83,140.77,53.6,8.05
124,Kasongo-Lunda,66,CD,1586642375,78,-6.47,16.82,70.12,1.14
125,Avarua,96,CK,1586642308,84,-21.21,-159.78,86.0,5.82
126,Finschhafen,95,PG,1586642375,72,-6.6,147.87,82.62,2.89
127,Acaraú,100,BR,1586642376,85,-2.89,-40.12,79.88,5.86
128,Luanda,71,AO,1586642376,82,-8.84,13.23,79.32,4.79
129,La Libertad,99,EC,1586642376,78,-2.23,-80.9,82.4,10.29
130,América Dourada,65,BR,1586642299,71,-11.46,-41.44,74.05,0.54
131,Te Anau,56,NZ,1586642377,67,-45.42,167.72,55.45,5.06
132,Owando,100,CG,1586642378,76,-0.48,15.9,74.93,2.89
133,Yangi Marg`ilon,90,UZ,1586642378,76,40.43,71.72,53.6,4.7
134,Breyten,0,ZA,1586642378,40,-26.3,29.99,54.64,3.36
135,Omboué,100,GA,1586642378,93,-1.57,9.26,76.42,8.05
136,Klaksvík,100,FO,1586642294,100,62.23,-6.59,42.8,16.11
137,Megion,60,RU,1586642223,95,61.03,76.11,39.2,4.47
138,Arraial do Cabo,75,BR,1586642379,83,-22.97,-42.03,71.6,5.82
139,Vanimo,41,PG,1586642379,85,-2.67,141.3,79.43,2.82
140,Cherskiy,100,RU,1586642207,96,68.75,161.3,13.78,12.44
141,Ahipara,90,NZ,1586642379,77,-35.17,173.17,65.52,14.65
142,Agüimes,40,ES,1586642380,68,27.91,-15.45,68.0,17.22
143,Morro Bay,20,US,1586642380,72,35.37,-120.85,68.0,16.11
144,Pasni,20,PK,1586642380,74,25.26,63.47,77.77,2.8
145,The Valley,20,AI,1586642380,66,18.22,-63.06,86.0,9.17
146,Hasaki,75,JP,1586642338,93,35.73,140.83,46.4,10.29
147,Kirkuk,45,IQ,1586642381,53,35.47,44.39,57.58,5.44
148,Carnarvon,14,AU,1586642190,100,-24.87,113.63,75.2,9.17
149,Brae,100,GB,1586642381,87,60.4,-1.35,46.4,20.8
150,Cabo San Lucas,75,MX,1586642269,52,22.89,-109.91,80.01,25.28
151,Roblin,93,CA,1586642382,88,51.23,-101.36,21.7,16.53
152,Fortuna,40,US,1586642382,81,40.6,-124.16,57.99,10.29
153,Bachaquero,80,VE,1586642382,59,9.97,-71.15,89.24,6.26
154,Kupino,77,RU,1586642382,75,54.37,77.3,37.76,7.25
155,Caravelas,62,BR,1586642286,85,-17.71,-39.25,79.21,11.05
156,Port Lincoln,81,AU,1586642383,64,-34.73,135.87,56.75,7.05
157,Kavieng,99,PG,1586642271,73,-2.57,150.8,83.55,4.92
158,Mar del Plata,37,AR,1586642203,60,-38.0,-57.56,68.0,9.17
159,Pangai,20,TO,1586642383,74,-19.8,-174.35,78.8,9.17
160,Iqaluit,75,CA,1586642182,63,63.75,-68.51,26.6,13.87
161,Mehamn,85,NO,1586642384,92,71.04,27.85,20.98,4.47
162,Khanbari,73,NP,1586642384,25,27.37,87.2,65.75,5.14
163,Tautira,100,PF,1586642384,70,-17.73,-149.15,86.0,5.82
164,Provideniya,100,RU,1586642206,94,64.38,-173.3,31.89,4.63
165,San Patricio,40,MX,1586642385,74,19.22,-104.7,86.0,23.04
166,Inhambane,64,MZ,1586642387,80,-23.86,35.38,73.53,3.89
167,Joensuu,0,FI,1586642387,92,62.6,29.76,24.01,2.24
168,Alta Floresta,75,BR,1586642387,100,-9.88,-56.09,77.0,4.7
169,Saint Paul Harbor,90,US,1586642165,75,57.79,-152.41,41.0,16.11
170,São Filipe,86,CV,1586642312,73,14.9,-24.5,75.61,12.48
171,Maxixe,62,MZ,1586642388,81,-23.86,35.35,73.0,3.83
172,Polson,90,US,1586642389,32,47.69,-114.16,37.4,21.92
173,Buala,98,SB,1586642389,77,-8.14,159.59,82.81,7.56
174,Praia,70,CV,1586642390,61,14.92,-23.51,77.0,10.29
175,Goderich,1,CA,1586642390,52,43.75,-81.72,53.01,11.99
176,Pimenta Bueno,71,BR,1586642169,86,-11.67,-61.19,81.46,2.82
177,Qaanaaq,91,GL,1586642179,75,77.48,-69.36,14.05,2.35
178,Yinchuan,0,CN,1586642391,13,38.47,106.27,42.01,4.0
179,Dandong,0,CN,1586642391,58,40.13,124.39,43.02,3.96
180,Iquique,28,CL,1586642391,60,-20.22,-70.14,73.4,14.99
181,Bandrele,20,YT,1586642392,78,-12.91,45.19,82.4,5.82
182,Esperance,98,AU,1586642279,60,-33.87,121.9,69.8,18.34
183,Narsaq,100,GL,1586642373,36,60.92,-46.05,44.6,39.15
184,Takoradze,75,GH,1586642392,85,4.88,-1.76,81.09,5.46
185,Lodja,96,CD,1586642393,82,-3.48,23.43,72.55,0.63
186,Pacifica,90,US,1586642147,87,37.61,-122.49,69.01,5.82
187,Assiut,0,EG,1586642289,42,27.18,31.18,62.6,9.17
188,Saint-Augustin,100,CA,1586642314,96,51.23,-58.65,32.49,5.59
189,Lakatoro,40,VU,1586642394,78,-16.1,167.42,80.6,3.36
190,Lebu,0,CL,1586642311,55,-37.62,-73.65,57.85,16.91
191,Wewak,89,PG,1586642395,86,-3.55,143.63,78.3,2.35
192,Murmashi,63,RU,1586642395,92,68.82,32.81,14.0,2.24
193,Cravo Norte,86,CO,1586642396,50,6.3,-70.2,90.66,6.8
194,Atuona,64,PF,1586642213,68,-9.8,-139.03,82.8,7.47
195,Buchanan,45,LR,1586642396,85,5.88,-10.05,80.04,3.49
196,Puerto del Rosario,20,ES,1586642396,72,28.5,-13.86,66.2,13.87
197,Asău,59,RO,1586642396,48,46.43,26.4,44.6,1.7
198,Sharkan,100,RU,1586642397,54,57.3,53.87,45.0,3.0
199,Hilton Head,1,US,1586642201,35,32.22,-80.75,75.0,6.93
200,Bougouni,73,ML,1586642397,30,11.42,-7.48,88.5,4.03
201,Bhādāsar,17,IN,1586642397,27,28.28,74.32,83.57,8.03
202,Methven,99,NZ,1586642398,53,-43.63,171.65,56.73,11.21
203,Norman Wells,40,CA,1586642398,54,65.28,-126.83,28.4,11.41
204,Kalangala,20,UG,1586642398,83,-0.31,32.23,73.4,8.05
205,Karpogory,83,RU,1586642398,98,64.0,44.45,24.39,3.96
206,City of San Pedro,40,PH,1586642399,78,14.35,121.02,82.4,2.24
207,Kisesa,3,TZ,1586642399,60,-3.08,34.15,63.88,7.81
208,Carutapera,100,BR,1586642400,86,-1.2,-46.02,81.18,9.6
209,Hamilton,75,US,1586642222,25,39.18,-84.53,63.0,9.17
210,Tasiilaq,72,GL,1586642296,39,65.61,-37.64,30.2,13.87
211,São Geraldo do Araguaia,96,BR,1586642400,85,-6.4,-48.55,79.3,2.71
212,Huarmey,53,PE,1586642401,64,-10.07,-78.15,79.03,9.73
213,Nueva Helvecia,0,UY,1586642401,82,-34.3,-57.23,68.0,9.17
214,Ha Tinh,99,VN,1586642401,93,18.33,105.9,75.51,1.81
215,Cidreira,4,BR,1586642056,67,-30.18,-50.21,67.53,7.14
216,Arlit,7,NE,1586642328,12,18.74,7.39,86.47,4.12
217,Qaqortoq,100,GL,1586642307,36,60.72,-46.03,44.6,39.15
218,Baykit,47,RU,1586642402,93,61.67,96.37,23.05,3.06
219,Ostrovnoy,51,RU,1586642231,93,68.05,39.51,15.75,11.48
220,Sitka,20,US,1586642132,42,57.05,-135.33,48.2,5.82
221,Katherine,40,AU,1586642133,94,-14.47,132.27,73.4,5.82
222,Naryan-Mar,81,RU,1586642133,96,67.67,53.09,13.35,9.37
